file,artist,title,bpm,camelot,key,duration_sec,avg_energy_level,first_drop_sec
"01. 999999999, FLKN - No Limit (Extended).m4a","999999999, FLKN",No Limit (Extended),76.0,6B,A# major,266.3,6,13.1
"01. Armin van Buuren, Wippenberg, Hannah Laing - U Got 2 Know (Extended Mix).m4a","Armin van Buuren, Wippenberg, Hannah Laing",U Got 2 Know (Extended Mix),143.6,4A,F minor,307.9,7,39.8
"01. CoCo Star, Mike Momburg - I Need A Miracle (Extended Mix).m4a","CoCo Star, Mike Momburg",I Need A Miracle (Extended Mix),143.6,12B,E major,339.0,8,13.9
01. Gigi D'Agostino - Bla Bla Bla (Original Mix).m4a,Gigi D'Agostino,Bla Bla Bla (Original Mix),136.0,3A,A# minor,256.5,8,29.6
"01. Giuseppe Ottaviani, Gabry Ponte, Crooked Bangs - Astra (Extended Mix).m4a","Giuseppe Ottaviani, Gabry Ponte, Crooked Bangs",Astra (Extended Mix),143.6,10B,D major,250.7,6,48.4
"01. Giuseppe Ottaviani, Nifra - Unified (Extended Mix).m4a","Giuseppe Ottaviani, Nifra",Unified (Extended Mix),143.6,9A,E minor,258.2,7,13.7
"01. Jan Johnston, Tenishia, Tai Woffinden - Flesh (Extended Mix).m4a","Jan Johnston, Tenishia, Tai Woffinden",Flesh (Extended Mix),76.0,12A,C# minor,241.6,6,51.5
"01. KLP, Amy Wiles, DOREY - Imagination (Extended Mix).m4a","KLP, Amy Wiles, DOREY",Imagination (Extended Mix),143.6,6A,G minor,320.0,7,14.4
"01. Kate Ryan, Blasterjaxx - Désenchantée 3000 (Extended Mix).m4a","Kate Ryan, Blasterjaxx",Désenchantée 3000 (Extended Mix),143.6,3A,A# minor,245.8,7,13.2
01. Lilly Palmer - New Generation (The Official Nature One Anthem 2024) (Extended Mix).m4a,Lilly Palmer,New Generation (The Official Nature One Anthem 2024) (Extended Mix),143.6,9B,G major,372.0,8,109.2
"01. Maddix, Caroline Roxy - Coming Home feat. Caroline Roxy (Extended Mix).m4a","Maddix, Caroline Roxy",Coming Home feat. Caroline Roxy (Extended Mix),76.0,3A,A# minor,276.0,7,68.3
01. Marie Vaunt - That Acid (Extended Mix).m4a,Marie Vaunt,That Acid (Extended Mix),76.0,6A,G minor,217.6,8,25.2
01. Mark Sherry - Kill The Lights (Extended Mix).m4a,Mark Sherry,Kill The Lights (Extended Mix),76.0,6A,G minor,292.0,8,25.3
"01. Tiesto, Olivia Sebastianelli - Don't Lose Your Head (Extended Version).m4a","Tiesto, Olivia Sebastianelli",Don't Lose Your Head (Extended Version),136.0,2B,F# major,220.3,8,71.6
01. Ueberrest - Disturbing Paradise (Original Mix).m4a,Ueberrest,Disturbing Paradise (Original Mix),76.0,8A,A minor,230.4,7,25.4
"01. Yomanda, MDDLTN - Sunshine (MDDLTN Extended Re-Edit).m4a","Yomanda, MDDLTN",Sunshine (MDDLTN Extended Re-Edit),143.6,7B,F major,256.6,7,13.3
02. Golpe - Master At Work (2024 Rave Mix).m4a,Golpe,Master At Work (2024 Rave Mix),76.0,11A,F# minor,313.6,8,13.1
"02. Junkie Kid, Lister - 90s Baby (Extended Club Mix).m4a","Junkie Kid, Lister",90s Baby (Extended Club Mix),80.7,1A,G# minor,237.0,7,9.2
07. Soulsearcher - Can't Get Enough! (Accapella).m4a,Soulsearcher,Can't Get Enough! (Accapella),129.2,1B,B major,155.5,7,38.2
11. Lilly Palmer - Cold Blood (Extended Mix).m4a,Lilly Palmer,Cold Blood (Extended Mix),143.6,4A,F minor,248.3,8,87.1
"15. Argy, Omnya - Aria (Omiki Remix).m4a","Argy, Omnya",Aria (Omiki Remix),143.6,5A,C minor,277.7,7,55.4
